,predictor,rank_value
0,price,0.7474789635464739
1,country Argentina,0.0006693618696981124
2,country Armenia,0.0
3,country Australia,0.0016300404419382264
4,country Austria,0.016235096390462098
5,country Bosnia and Herzegovina,0.0
6,country Brazil,9.586184226135584e-05
7,country Bulgaria,0.0003871207978685656
8,country Canada,0.00047446182095920006
9,country Chile,0.0009897115736402506
10,country China,0.0
11,country Croatia,0.00038604579273131154
12,country Cyprus,0.0
13,country Czech Republic,0.0
14,country England,0.0
15,country France,0.0028719296951251927
16,country Georgia,0.0
17,country Germany,0.0004175918934716585
18,country Greece,0.0011806732178837008
19,country Hungary,0.00011722400187479917
20,country India,0.0
21,country Israel,0.0002045314004365506
22,country Italy,0.006190015340871973
23,country Lebanon,7.641426271041182e-05
24,country Luxembourg,0.0
25,country Macedonia,0.0
26,country Mexico,4.517456803814273e-05
27,country Moldova,5.470758742927762e-05
28,country Morocco,0.0
29,country New Zealand,0.001062162408860415
30,country Peru,0.0
31,country Portugal,0.0072681719349121125
32,country Romania,7.910468817518016e-05
33,country Serbia,6.757938420733255e-05
34,country Slovakia,0.0
35,country Slovenia,0.00022526873252585867
36,country South Africa,0.0010642510255255311
37,country Spain,0.0011043391859277543
38,country Switzerland,0.00020338795066571861
39,country Turkey,0.00039290757716966537
40,country US,0.003335583383592849
41,country Ukraine,0.0
42,country Uruguay,1.4084966392686177e-05
43,province Achaia,8.534425568495804e-05
44,province Aconcagua Costa,7.132654251008978e-05
45,province Aconcagua Valley,0.000318733028035641
46,province Aegean,0.0
47,province Agioritikos,0.0
48,province Ahr,7.344908939841634e-05
49,province Alenquer,7.377390921325697e-05
50,province Alentejano,0.0006748408211987891
51,province Alentejo,0.00025301503604013766
52,province Alenteo,3.1804762822194447e-06
53,province Algarve,7.565819195998237e-05
54,province Alsace,0.002561503584455538
55,province America,0.0003678768876225164
56,province Amindeo,0.0
57,province Amyndeon,0.0
58,province Andalucia,0.0010448409163432855
59,province Ankara,0.0
60,province Apalta,0.0
61,province Arcadia,0.0
62,province Arizona,0.00017992291157137668
63,province Armenia,0.0
64,province Atalanti Valley,5.9574331870391664e-05
65,province Atlantida,0.0
66,province Attica,0.0
67,province Australia Other,0.0001442047085400455
68,province Austria,0.00032571280869590194
69,province Awatere Valley,0.00029077060401351817
70,province Baden,0.0007648858221400608
71,province Bairrada,0.0008207735055680269
72,province Beaujolais,0.001408178409988137
73,province Beira Atlantico,0.00013304084763247846
74,province Beira Interior,0.00038181076608579317
75,province Beiras,0.0004220612728172716
76,province Bekaa Valley,0.0
77,province Beotia,0.0
78,province Black Sea Coastal,0.0
79,province Bordeaux,0.0003716924920214849
80,province Bot River,0.0
81,province Brazil,0.0
82,province Brda,0.0
83,province Breede River Valley,0.0
84,province Breedekloof,0.0
85,province British Columbia,0.0007947337485956253
86,province Bucelas,8.098249542807975e-05
87,province Buin,0.0
88,province Bulgaria,0.0
89,province Burgenland,0.0008963239617400858
90,province Burgundy,0.0027108766487082578
91,province Bío Bío Valley,1.2569068048898416e-05
92,province Cachapoal Valley,0.0001678255534562691
93,province Cahul,0.0
94,province California,0.004270362590408146
95,province Campanha,0.0
96,province Canada Other,0.0
97,province Canelones,0.0
98,province Canterbury,0.0
99,province Cape Agulhas,0.0
100,province Cape Peninsula,0.0
101,province Cape South Coast,0.0
102,province Cappadocia,0.0
103,province Carnuntum,0.0005953936305682905
104,province Casablanca & Leyda Valleys,0.0
105,province Casablanca Valley,0.0003043438360516105
106,province Casablanca-Curicó Valley,0.0
107,province Catalonia,0.000417047410468362
108,province Cauquenes Valley,0.0
109,province Cederberg,0.0
110,province Central Greece,0.0
111,province Central Italy,0.0010119604423334597
112,province Central Otago,0.00035316442197936193
113,province Central Spain,0.0002489102086588349
114,province Central Valley,6.964846429676607e-05
115,province Cephalonia,0.0
116,province Chalkidiki,0.0
117,province Champagne,0.002741572799038918
118,province Chile,0.0
119,province China,0.0
120,province Choapa Valley,0.0
121,province Coastal Region,7.057212572962887e-05
122,province Codru Region,0.0
123,province Coelemu,0.0
124,province Colares,0.0
125,province Colchagua Costa,0.0
126,province Colchagua Valley,0.00037723112632922763
127,province Colorado,0.000387640825178539
128,province Commandaria,0.0
129,province Connecticut,0.0
130,province Constantia,0.0
131,province Corinth,0.0
132,province Corinthia,0.0
133,province Crete,4.387929056858838e-05
134,province Croatia,0.0
135,province Curicó Valley,9.19308574718494e-05
136,province Curicó and Leyda Valleys,0.0
137,province Curicó and Maipo Valleys,0.0
138,province Cyclades,0.0
139,province Cyprus,0.0
140,province Dalmatian Coast,0.0
141,province Dan,0.0
142,province Danube River Plains,0.00019219691424807235
143,province Darling,0.0
144,province Dealu Mare,7.120686710319194e-05
145,province Dealurile Hușilor,0.0
146,province Dealurile Munteniei,0.0
147,province Devon Valley,0.0
148,province Dingač,0.0
149,province Dolenjska,0.0
150,province Douro,0.0006751058115931855
151,province Drama,0.0
152,province Durbanville,0.0
153,province Duriense,0.000258897395511408
154,province Dão,0.0010443384994772956
155,province East Coast,0.0
156,province Eger,0.0
157,province Eilandia,0.0
158,province Eisenberg,0.00017719479343789157
159,province Elazığ,0.0
160,province Elazığ-Diyarbakir,0.0
161,province Elgin,0.00019156725968157
162,province Elim,0.0
163,province Ella Valley,0.0
164,province Elqui Valley,0.0
165,province England,0.00010050823716015757
166,province Epanomi,0.00011695362606713905
167,province Estremadura,6.154930597904554e-05
168,province Florina,0.0
169,province France Other,0.00010137248784148673
170,province Franken,0.00010405448320557015
171,province Franschhoek,0.0
172,province Fruška Gora,0.0
173,province Galicia,0.000339590873447782
174,province Galil,7.638701796592313e-05
175,province Galilee,0.0008121092771159773
176,province Georgia,0.0
177,province Germany,6.926363921381766e-05
178,province Gisborne,7.176817993399904e-05
179,province Gladstone,0.0
180,province Golan Heights,1.618702148638518e-05
181,province Goriska Brda,5.712815998613766e-05
182,province Goumenissa,0.0
183,province Greece,0.0
184,province Groenekloof,0.0
185,province Guerrouane,0.0
186,province Halkidiki,0.0
187,province Haut-Judeé,0.0
188,province Hawaii,0.0
189,province Hawke's Bay,0.00039007679799464264
190,province Helderberg,0.0
191,province Hemel en Aarde,3.5019719298580284e-05
192,province Hrvatsko Primorje,0.0
193,province Hungary,0.0
194,province Hvar,0.0
195,province Ica,7.326546667492295e-05
196,province Idaho,0.00023659313975057738
197,province Illinois,0.0
198,province Imathia,0.0
199,province Iowa,0.0
200,province Ismarikos,0.0
201,province Israel,7.363340329903893e-05
202,province Istria,0.0
203,province Italy Other,0.00011817608053322342
204,province Itata Valley,0.0
205,province Jerusalem Hills,0.0
206,province Jidvei,0.0
207,province Jonkershoek Valley,0.0
208,province Juanico,0.00011947110734204843
209,province Judean Hills,0.0003607484418249591
210,province Kakheti,0.0002114478630421139
211,province Kamptal,0.0006241432784798823
212,province Kathikas,0.0
213,province Kentucky,0.0
214,province Korinthia,0.0
215,province Korčula,0.0
216,province Krania Olympus,0.0
217,province Kras,0.0
218,province Kremstal,0.0007186991576587831
219,province Krk,0.0
220,province Kumeu,0.00010499634253620346
221,province Kutjevo,0.0
222,province Lakonia,0.0
223,province Landwein Rhein,4.4412963487458634e-05
224,province Languedoc-Roussillon,0.00015814006853313492
225,province Lebanon,0.0
226,province Leithaberg,9.552155904999615e-05
227,province Lemesos,0.0
228,province Lesbos,0.0
229,province Letrinon,0.0
230,province Levante,6.132970873723576e-05
231,province Leyda Valley,0.00019477315746547656
232,province Leyda Valley-Maipo Valley,0.0
233,province Limarí Valley,2.9233556254747023e-05
234,province Limnos,0.0
235,province Lisboa,0.0008142430601665764
236,province Loire Valley,0.001714188077393904
237,province Lolol Valley,0.0
238,province Lombardy,0.00034931668691332506
239,province Loncomilla Valley,0.0
240,province Lontué Valley,0.0
241,province Lutzville Valley,0.0
242,province Macedonia,0.0
243,province Madeira,0.0
244,province Maipo Valley,0.0004158238901461365
245,province Maipo Valley-Colchagua Valley,0.0
246,province Malgas,0.0
247,province Malleco,5.2094345461629124e-05
248,province Mantinia,0.00012884142562511415
249,province Marchigue,7.739927184386687e-05
250,province Markopoulo,0.0
251,province Marlborough,0.0008214939182612601
252,province Martinborough,0.00019885915142555267
253,province Massachusetts,0.0
254,province Maule Valley,0.00022803419029304188
255,province Mavrodaphne de Cephalonie,0.0
256,province Mavrodaphne of Patras,0.0
257,province Mendoza Province,0.0006240816579822575
258,province Messinia,0.0
259,province Michigan,0.0016676748517700992
260,province Middle and South Dalmatia,0.0
261,province Minho,0.00012183601182909664
262,province Missouri,0.0
263,province Mittelburgenland,7.303315907318757e-06
264,province Mittelrhein,6.406417462560258e-06
265,province Moldova,0.0
266,province Molina,0.0
267,province Monemvasia,0.0
268,province Montevideo,0.0
269,province Moravia,0.0
270,province Morocco,0.0
271,province Moscatel de Setúbal,0.00010759728388361939
272,province Moscatel do Douro,0.0
273,province Mosel,0.0003520104901166808
274,province Mosel-Saar-Ruwer,0.0006799652216277524
275,province Moselle Luxembourgeoise,6.938150111952796e-05
276,province Mostar,0.0
277,province Mount Athos,0.0
278,province Murfatlar,0.0
279,province Muscat of Kefallonian,0.0
280,province Muscat of Patras,0.0
281,province Muzla,0.0
282,province Mátra,0.0
283,province Nahe,0.0004534387224509372
284,province Naoussa,0.0
285,province Nashik,0.00030737573175522855
286,province Negev,0.0
287,province Negev Hills,0.0
288,province Nelson,0.00012295898235161135
289,province Nemea,0.0
290,province Neuchâtel,0.0
291,province Neusiedlersee,0.0
292,province Nevada,0.0
293,province New Jersey,0.0
